"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-13"
"Data Set: RGVA—Regional Output and GVA at basic prices by industry and 2016 local municipal/ward-based metro region level"
"Source: Quantec"
"Frequency: Annual"
"","","","","",""
"Concept","","","","Output at basic prices","Gross value added at basic prices"
"Unit","Date","Geography","Industry","",""
"R millions current prices","2019","P6D03: Dr Ruth Segomotsi Mompati (DC39)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",106.28,17.579
"R millions current prices","2019","P6D04: Dr Kenneth Kaunda (DC40)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",542.783,111.074
"R millions current prices","2019","P6D04: Dr Kenneth Kaunda (DC40)","I030826: Structural metal products [QSIC 354]",285.784,83.755
"R millions current prices","2019","P6D04: Dr Kenneth Kaunda (DC40)","I030827: Other fabricated metal products [QSIC 355]",455.164,140.512
"R millions current prices","2019","P6D04: Dr Kenneth Kaunda (DC40)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",969.881,168.58
"R millions current prices","2019","P7: Gauteng","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",56002.661,11676.242
"R millions current prices","2019","P7: Gauteng","I030826: Structural metal products [QSIC 354]",16849.711,5060.562
"R millions current prices","2019","P7: Gauteng","I030827: Other fabricated metal products [QSIC 355]",40883.09,13225.863
"R millions current prices","2019","P7: Gauteng","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",117190.218,19843.708
"R millions current prices","2019","P7D01: Sedibeng (DC42)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",18402.323,3875.345
"R millions current prices","2019","P7D01: Sedibeng (DC42)","I030826: Structural metal products [QSIC 354]",2493.514,750.742
"R millions current prices","2019","P7D01: Sedibeng (DC42)","I030827: Other fabricated metal products [QSIC 355]",5019.358,1632.002
"R millions current prices","2019","P7D01: Sedibeng (DC42)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",5472.931,943.42
"R millions current prices","2019","P7D02: West Rand (DC48)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",5469.323,1127.555
"R millions current prices","2019","P7D02: West Rand (DC48)","I030826: Structural metal products [QSIC 354]",1795.54,533.25
"R millions current prices","2019","P7D02: West Rand (DC48)","I030827: Other fabricated metal products [QSIC 355]",3252.435,1043.715
"R millions current prices","2019","P7D02: West Rand (DC48)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",6455.116,1075.223
"R millions current prices","2019","P7D03: Ekurhuleni (EKU)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",14575.886,3019.112
"R millions current prices","2019","P7D03: Ekurhuleni (EKU)","I030826: Structural metal products [QSIC 354]",4896.051,1471.086
"R millions current prices","2019","P7D03: Ekurhuleni (EKU)","I030827: Other fabricated metal products [QSIC 355]",12232.388,3965.067
"R millions current prices","2019","P7D03: Ekurhuleni (EKU)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",29147.499,4984.996
"R millions current prices","2019","P7D04: City of Johannesburg (JHB)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",10537.505,2186.505
"R millions current prices","2019","P7D04: City of Johannesburg (JHB)","I030826: Structural metal products [QSIC 354]",4767.157,1434.493
"R millions current prices","2019","P7D04: City of Johannesburg (JHB)","I030827: Other fabricated metal products [QSIC 355]",12805.492,4139.784
"R millions current prices","2019","P7D04: City of Johannesburg (JHB)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",33579.252,5684.158
"R millions current prices","2019","P7D05: City of Tshwane (TSH)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",7017.624,1467.725
"R millions current prices","2019","P7D05: City of Tshwane (TSH)","I030826: Structural metal products [QSIC 354]",2897.449,870.991
"R millions current prices","2019","P7D05: City of Tshwane (TSH)","I030827: Other fabricated metal products [QSIC 355]",7573.417,2445.295
"R millions current prices","2019","P7D05: City of Tshwane (TSH)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",42535.42,7155.911
"R millions current prices","2019","P8: Mpumalanga","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",15813.31,3340.526
"R millions current prices","2019","P8: Mpumalanga","I030826: Structural metal products [QSIC 354]",3191.949,967.611
"R millions current prices","2019","P8: Mpumalanga","I030827: Other fabricated metal products [QSIC 355]",6033.066,1942.904
"R millions current prices","2019","P8: Mpumalanga","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",7532.608,1251.869
